Uma rota como PATCH /requests/{id}/accept garante sozinha a consistência do banco?	Não. Ela comunica a intenção; quem garante consistência é o Service validando estado, permissão e regras antes de salvar.	rest service
Por que usar PATCH para aceitar ou rejeitar uma solicitação?	Porque accept/reject são alterações parciais ou transições de estado, não substituição completa do recurso.	rest patch
Por que não deixar o cliente mandar qualquer status?	Porque o cliente poderia pular etapas e salvar estados inválidos; o backend deve receber ações e decidir se a transição é permitida.	api dominio
Que campos o cliente normalmente não deveria controlar?	Campos como id, status, dono, datas de criação e campos calculados pelo servidor.	dto dominio
Para que serve @Valid no Controller?	Para pedir ao Spring que valide o DTO recebido antes de executar o método do controller.	bean-validation spring
O que acontece quando @Valid falha?	O Spring lança uma exceção de validação, normalmente tratada por um GlobalExceptionHandler para retornar 400.	bean-validation exception
O que é Hibernate?	Hibernate é uma implementação da JPA que executa o mapeamento objeto-relacional.	jpa hibernate
Para que serve @ManyToOne?	Indica que muitos registros de uma entidade apontam para um registro de outra entidade.	jpa relacionamento
Para que serve @OneToOne?	Indica que um registro se relaciona com no máximo um registro de outra entidade.	jpa relacionamento
Para que serve @JoinColumn?	Define a coluna de chave estrangeira usada no relacionamento.	jpa relacionamento
Por que usar @Enumerated(EnumType.STRING)?	Para salvar o nome do enum no banco, evitando problemas se a ordem dos valores mudar.	jpa enum
O que é Pageable?	Uma abstração do Spring Data para paginação e ordenação, usando page, size e sort.	pageable
Qual a diferença entre Page e List?	List traz só os itens; Page traz itens e metadados como totalElements e totalPages.	pageable
Por que usar paginação?	Para evitar carregar muitos dados de uma vez e melhorar performance em listagens.	pageable api
Por que criar solicitação pode precisar de transação?	Porque salva a solicitação e também o vínculo com o usuário; se uma parte falhar, não deve ficar dado pela metade.	transaction dominio
Por que o backend usa stateless?	Porque cada requisição traz o token JWT, então o servidor não precisa manter sessão.	jwt stateless
Por que no Spring usamos hasRole("ADMIN") e não hasRole("ROLE_ADMIN")?	Porque hasRole adiciona o prefixo ROLE_ automaticamente; a authority final é ROLE_ADMIN.	spring-security role
Como as roles do Keycloak chegam ao Spring Security?	O backend lê as roles do claim realm_access.roles e converte cada uma para SimpleGrantedAuthority com prefixo ROLE_.	keycloak spring-security
Por que centralizar fetch em um service no frontend?	Para não espalhar chamadas HTTP pelas telas e deixar o consumo da API mais organizado.	frontend api
Como o frontend acessa o backend no Vite?	Ele chama /api no navegador e o proxy do Vite encaminha para o backend configurado.	frontend vite
Qual resposta curta para "por que seu backend não é só CRUD"?	Porque o domínio tem ações e transições, como aceitar, rejeitar e gerar processo, que precisam de regras no Service.	entrevista dominio
